case_id,merchant_id,customer_id,customer_name,customer_phone,customer_email,subscription_id,amount,currency,failed_at,failure_code,failure_description,payment_method,previous_attempts,last_attempt_at,status,recovered_amount,recovery_attempts,last_recovery_action,escalated,notes
CASE0014,merch_1027,cust_0014,Vihaan Mehta,+919865248306,vihaan.mehta32@hotmail.com,sub_0014,149900,INR,2026-08-19T10:46:18.609695,card_expired,Card has expired,netbanking,1,2026-08-18T19:46:18.609695,failed_recoverable,0,0,,False,
CASE0015,merch_1004,cust_0015,Aarav Gupta,+919830200183,aarav.gupta7@hotmail.com,sub_0015,49900,INR,2026-08-19T05:46:18.609695,insufficient_funds,Insufficient funds in account,netbanking,0,,failed_recoverable,0,0,,False,
CASE0016,merch_1033,cust_0016,Diya Mehta,+919845072142,diya.mehta40@hotmail.com,sub_0016,29900,INR,2026-08-17T05:46:18.609695,insufficient_funds,Insufficient funds in account,card,1,2026-08-16T14:46:18.609695,failed_recoverable,0,0,,False,
CASE0017,merch_1006,cust_0017,Anika Singh,+919880214634,anika.singh57@hotmail.com,sub_0017,499900,INR,2026-08-18T05:46:18.609695,invalid_account,Invalid account details,card,2,2026-08-16T23:46:18.609695,failed_recoverable,0,0,,False,
CASE0018,merch_1014,cust_0018,Ananya Joshi,+919892223954,ananya.joshi81@gmail.com,sub_0018,99900,INR,2026-08-20T13:46:18.609695,soft_decline,Temporary decline by issuer,upi,1,2026-08-19T02:46:18.609695,failed_recoverable,0,0,,False,
CASE0019,merch_1002,cust_0019,Aadhya Nair,+919848635826,aadhya.nair90@hotmail.com,sub_0019,99900,INR,2026-08-18T06:46:18.609695,mandate_revoked,Customer revoked the mandate,card,1,2026-08-17T03:46:18.609695,failed_recoverable,0,0,,False,
CASE0020,merch_1025,cust_0020,Kiara Joshi,+919860435288,kiara.joshi84@gmail.com,sub_0020,19900,INR,2026-08-19T08:46:18.609695,do_not_honor,Do not honor,upi,1,2026-08-19T05:46:18.609695,failed_recoverable,0,0,,False,
CASE0021,merch_1040,cust_0021,Ayaan Verma,+919886951422,ayaan.verma61@yahoo.com,sub_0021,149900,INR,2026-08-17T22:46:18.609695,bank_timeout,Bank did not respond in time,upi,2,2026-08-17T05:46:18.609695,failed_recoverable,0,0,,False,
CASE0022,merch_1019,cust_0022,Diya Mehta,+919869003758,diya.mehta99@gmail.com,sub_0022,29900,INR,2026-08-20T14:46:18.609695,do_not_honor,Do not honor,netbanking,0,,failed_recoverable,0,0,,False,
CASE0023,merch_1003,cust_0023,Pari Gupta,+919811506335,pari.gupta38@yahoo.com,sub_0023,29900,INR,2026-08-19T12:46:18.609695,soft_decline,Temporary decline by issuer,netbanking,0,,failed_recoverable,0,0,,False,
CASE0024,merch_1044,cust_0024,Sai Reddy,+919838380710,sai.reddy55@yahoo.com,sub_0024,49900,INR,2026-08-20T18:46:18.609695,invalid_account,Invalid account details,netbanking,1,2026-08-19T10:46:18.609695,failed_recoverable,0,0,,False,
CASE0025,merch_1001,cust_0025,Sai Singh,+919893685178,sai.singh40@outlook.com,sub_0025,29900,INR,2026-08-17T16:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,card,2,2026-08-16T14:46:18.609695,failed_recoverable,0,0,,False,
CASE0026,merch_1004,cust_0026,Myra Joshi,+919882481956,myra.joshi42@gmail.com,sub_0026,99900,INR,2026-08-17T19:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,upi,0,,failed_recoverable,0,0,,False,
CASE0027,merch_1035,cust_0027,Ayaan Joshi,+919811849450,ayaan.joshi54@hotmail.com,sub_0027,149900,INR,2026-08-19T07:46:18.609695,bank_timeout,Bank did not respond in time,upi,2,2026-08-18T15:46:18.609695,failed_recoverable,0,0,,False,
CASE0028,merch_1005,cust_0028,Ishaan Gupta,+919862873757,ishaan.gupta74@hotmail.com,sub_0028,99900,INR,2026-08-16T17:46:18.609695,do_not_honor,Do not honor,card,1,2026-08-16T07:46:18.609695,failed_recoverable,0,0,,False,
CASE0029,merch_1041,cust_0029,Krishna Verma,+919829836715,krishna.verma25@outlook.com,sub_0029,249900,INR,2026-08-20T10:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,upi,1,2026-08-18T15:46:18.609695,failed_recoverable,0,0,,False,
CASE0030,merch_1023,cust_0030,Krishna Singh,+919891276047,krishna.singh84@gmail.com,sub_0030,99900,INR,2026-08-18T06:46:18.609695,mandate_revoked,Customer revoked the mandate,netbanking,1,2026-08-17T07:46:18.609695,failed_recoverable,0,0,,False,
CASE0031,merch_1025,cust_0031,Kiara Singh,+919896128230,kiara.singh93@hotmail.com,sub_0031,19900,INR,2026-08-16T23:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,netbanking,2,2026-08-16T14:46:18.609695,failed_recoverable,0,0,,False,
CASE0032,merch_1028,cust_0032,Ayaan Joshi,+919840756022,ayaan.joshi50@gmail.com,sub_0032,19900,INR,2026-08-20T06:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,netbanking,2,2026-08-19T23:46:18.609695,failed_recoverable,0,0,,False,
CASE0033,merch_1025,cust_0033,Prisha Nair,+919812591859,prisha.nair30@outlook.com,sub_0033,249900,INR,2026-08-19T02:46:18.609695,insufficient_funds,Insufficient funds in account,upi,0,,failed_recoverable,0,0,,False,
CASE0034,merch_1042,cust_0034,Aadhya Reddy,+919826235551,aadhya.reddy13@gmail.com,sub_0034,49900,INR,2026-08-20T12:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,card,1,2026-08-19T12:46:18.609695,failed_recoverable,0,0,,False,
CASE0035,merch_1031,cust_0035,Aadhya Nair,+919868475301,aadhya.nair71@yahoo.com,sub_0035,499900,INR,2026-08-19T13:46:18.609695,invalid_account,Invalid account details,upi,2,2026-08-18T15:46:18.609695,failed_recoverable,0,0,,False,
CASE0036,merch_1014,cust_0036,Kiara Patel,+919839832925,kiara.patel28@yahoo.com,sub_0036,149900,INR,2026-08-19T04:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,upi,2,2026-08-17T15:46:18.609695,failed_recoverable,0,0,,False,
CASE0037,merch_1042,cust_0037,Navya Mehta,+919878994433,navya.mehta76@gmail.com,sub_0037,199900,INR,2026-08-16T18:46:18.609695,invalid_account,Invalid account details,upi,1,2026-08-15T07:46:18.609695,failed_recoverable,0,0,,False,
CASE0038,merch_1044,cust_0038,Vihaan Joshi,+919831228252,vihaan.joshi64@hotmail.com,sub_0038,99900,INR,2026-08-19T22:46:18.609695,card_expired,Card has expired,upi,2,2026-08-18T18:46:18.609695,failed_recoverable,0,0,,False,
CASE0039,merch_1036,cust_0039,Ananya Verma,+919818415894,ananya.verma73@gmail.com,sub_0039,149900,INR,2026-08-17T01:46:18.609695,invalid_account,Invalid account details,netbanking,1,2026-08-16T04:46:18.609695,failed_recoverable,0,0,,False,
CASE0040,merch_1044,cust_0040,Pari Reddy,+919894510149,pari.reddy93@outlook.com,sub_0040,149900,INR,2026-08-20T02:46:18.609695,do_not_honor,Do not honor,netbanking,2,2026-08-19T07:46:18.609695,failed_recoverable,0,0,,False,
CASE0041,merch_1015,cust_0041,Krishna Reddy,+919877923929,krishna.reddy50@gmail.com,sub_0041,249900,INR,2026-08-19T12:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,card,2,2026-08-18T16:46:18.609695,failed_recoverable,0,0,,False,
CASE0042,merch_1041,cust_0042,Vivaan Gupta,+919853853959,vivaan.gupta39@gmail.com,sub_0042,49900,INR,2026-08-17T20:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,netbanking,0,,failed_recoverable,0,0,,False,
CASE0043,merch_1049,cust_0043,Aadhya Joshi,+919878631090,aadhya.joshi84@gmail.com,sub_0043,149900,INR,2026-08-20T02:46:18.609695,invalid_account,Invalid account details,card,2,2026-08-19T03:46:18.609695,failed_recoverable,0,0,,False,
CASE0044,merch_1013,cust_0044,Diya Patel,+919845134932,diya.patel94@gmail.com,sub_0044,149900,INR,2026-08-17T04:46:18.609695,do_not_honor,Do not honor,netbanking,2,2026-08-16T00:46:18.609695,failed_recoverable,0,0,,False,
CASE0045,merch_1031,cust_0045,Ananya Joshi,+919877727163,ananya.joshi73@yahoo.com,sub_0045,99900,INR,2026-08-16T22:46:18.609695,card_expired,Card has expired,netbanking,0,,failed_recoverable,0,0,,False,
CASE0046,merch_1028,cust_0046,Reyansh Patel,+919864654117,reyansh.patel60@outlook.com,sub_0046,249900,INR,2026-08-19T19:46:18.609695,invalid_account,Invalid account details,upi,2,2026-08-19T01:46:18.609695,failed_recoverable,0,0,,False,
CASE0047,merch_1022,cust_0047,Navya Kumar,+919853990455,navya.kumar81@hotmail.com,sub_0047,499900,INR,2026-08-19T02:46:18.609695,invalid_account,Invalid account details,upi,1,2026-08-18T06:46:18.609695,failed_recoverable,0,0,,False,
CASE0048,merch_1036,cust_0048,Myra Kumar,+919839364442,myra.kumar96@gmail.com,sub_0048,49900,INR,2026-08-17T03:46:18.609695,insufficient_funds,Insufficient funds in account,upi,2,2026-08-15T15:46:18.609695,failed_recoverable,0,0,,False,
CASE0049,merch_1040,cust_0049,Ishaan Nair,+919825373502,ishaan.nair82@gmail.com,sub_0049,49900,INR,2026-08-16T18:46:18.609695,mandate_revoked,Customer revoked the mandate,netbanking,1,2026-08-14T18:46:18.609695,failed_recoverable,0,0,,False,
CASE0050,merch_1040,cust_0050,Vihaan Reddy,+919833564172,vihaan.reddy57@hotmail.com,sub_0050,499900,INR,2026-08-20T06:46:18.609695,do_not_honor,Do not honor,netbanking,1,2026-08-19T20:46:18.609695,failed_recoverable,0,0,,False,
CASE0051,merch_1031,cust_0051,Kiara Verma,+919894705132,kiara.verma53@hotmail.com,sub_0051,29900,INR,2026-08-20T02:46:18.609695,soft_decline,Temporary decline by issuer,netbanking,1,2026-08-18T05:46:18.609695,failed_recoverable,0,0,,False,
CASE0052,merch_1028,cust_0052,Ishaan Kumar,+919833487112,ishaan.kumar14@hotmail.com,sub_0052,199900,INR,2026-08-17T02:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,upi,2,2026-08-16T19:46:18.609695,failed_recoverable,0,0,,False,
CASE0053,merch_1012,cust_0053,Ishaan Mehta,+919816960073,ishaan.mehta21@gmail.com,sub_0053,49900,INR,2026-08-17T02:46:18.609695,card_expired,Card has expired,upi,0,,failed_recoverable,0,0,,False,
CASE0054,merch_1002,cust_0054,Anvi Reddy,+919894008259,anvi.reddy84@hotmail.com,sub_0054,49900,INR,2026-08-19T01:46:18.609695,insufficient_funds,Insufficient funds in account,netbanking,2,2026-08-17T04:46:18.609695,failed_recoverable,0,0,,False,
CASE0055,merch_1002,cust_0055,Myra Kumar,+919855487109,myra.kumar94@yahoo.com,sub_0055,49900,INR,2026-08-17T18:46:18.609695,soft_decline,Temporary decline by issuer,card,2,2026-08-17T15:46:18.609695,failed_recoverable,0,0,,False,
CASE0056,merch_1048,cust_0056,Myra Gupta,+919860105278,myra.gupta97@outlook.com,sub_0056,149900,INR,2026-08-18T14:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,upi,2,2026-08-17T04:46:18.609695,failed_recoverable,0,0,,False,
CASE0057,merch_1017,cust_0057,Reyansh Mehta,+919884870296,reyansh.mehta25@outlook.com,sub_0057,249900,INR,2026-08-20T18:46:18.609695,card_expired,Card has expired,card,1,2026-08-19T12:46:18.609695,failed_recoverable,0,0,,False,
CASE0058,merch_1030,cust_0058,Anvi Patel,+919840230160,anvi.patel72@yahoo.com,sub_0058,49900,INR,2026-08-20T17:46:18.609695,bank_timeout,Bank did not respond in time,upi,2,2026-08-19T11:46:18.609695,failed_recoverable,0,0,,False,
CASE0059,merch_1026,cust_0059,Aadhya Joshi,+919843509952,aadhya.joshi29@hotmail.com,sub_0059,149900,INR,2026-08-16T23:46:18.609695,invalid_account,Invalid account details,netbanking,2,2026-08-16T13:46:18.609695,failed_recoverable,0,0,,False,
CASE0060,merch_1033,cust_0060,Prisha Gupta,+919870693768,prisha.gupta91@yahoo.com,sub_0060,29900,INR,2026-08-19T03:46:18.609695,mandate_revoked,Customer revoked the mandate,card,1,2026-08-17T07:46:18.609695,failed_recoverable,0,0,,False,
CASE0061,merch_1011,cust_0061,Ishaan Nair,+919832377209,ishaan.nair3@outlook.com,sub_0061,29900,INR,2026-08-17T01:46:18.609695,do_not_honor,Do not honor,upi,0,,failed_recoverable,0,0,,False,
CASE0062,merch_1031,cust_0062,Kiara Sharma,+919889174789,kiara.sharma34@outlook.com,sub_0062,49900,INR,2026-08-17T06:46:18.609695,invalid_account,Invalid account details,netbanking,1,2026-08-15T22:46:18.609695,failed_recoverable,0,0,,False,
CASE0063,merch_1036,cust_0063,Navya Gupta,+919893452364,navya.gupta21@gmail.com,sub_0063,199900,INR,2026-08-16T20:46:18.609695,invalid_account,Invalid account details,upi,1,2026-08-16T05:46:18.609695,failed_recoverable,0,0,,False,
CASE0064,merch_1032,cust_0064,Myra Singh,+919826349169,myra.singh91@yahoo.com,sub_0064,29900,INR,2026-08-20T06:46:18.609695,bank_timeout,Bank did not respond in time,netbanking,0,,failed_recoverable,0,0,,False,
CASE0065,merch_1036,cust_0065,Anvi Nair,+919822602396,anvi.nair95@yahoo.com,sub_0065,99900,INR,2026-08-19T20:46:18.609695,do_not_honor,Do not honor,netbanking,0,,failed_recoverable,0,0,,False,
CASE0066,merch_1039,cust_0066,Reyansh Mehta,+919857564038,reyansh.mehta50@yahoo.com,sub_0066,49900,INR,2026-08-20T18:46:18.609695,mandate_revoked,Customer revoked the mandate,upi,0,,failed_recoverable,0,0,,False,
CASE0067,merch_1028,cust_0067,Reyansh Joshi,+919812720890,reyansh.joshi62@hotmail.com,sub_0067,149900,INR,2026-08-20T19:46:18.609695,insufficient_funds,Insufficient funds in account,netbanking,2,2026-08-19T18:46:18.609695,failed_recoverable,0,0,,False,
CASE0068,merch_1036,cust_0068,Aditya Joshi,+919854018186,aditya.joshi6@outlook.com,sub_0068,199900,INR,2026-08-19T05:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,netbanking,1,2026-08-18T03:46:18.609695,failed_recoverable,0,0,,False,
CASE0069,merch_1029,cust_0069,Prisha Sharma,+919872324710,prisha.sharma31@hotmail.com,sub_0069,199900,INR,2026-08-20T04:46:18.609695,bank_timeout,Bank did not respond in time,netbanking,2,2026-08-19T21:46:18.609695,failed_recoverable,0,0,,False,
CASE0070,merch_1015,cust_0070,Vihaan Kumar,+919880384269,vihaan.kumar25@gmail.com,sub_0070,19900,INR,2026-08-17T15:46:18.609695,mandate_revoked,Customer revoked the mandate,netbanking,0,,failed_recoverable,0,0,,False,
CASE0071,merch_1047,cust_0071,Vihaan Nair,+919867263085,vihaan.nair35@gmail.com,sub_0071,149900,INR,2026-08-19T11:46:18.609695,invalid_account,Invalid account details,card,1,2026-08-17T19:46:18.609695,failed_recoverable,0,0,,False,
CASE0072,merch_1038,cust_0072,Anika Patel,+919889987906,anika.patel19@gmail.com,sub_0072,149900,INR,2026-08-18T12:46:18.609695,soft_decline,Temporary decline by issuer,card,2,2026-08-16T20:46:18.609695,failed_recoverable,0,0,,False,
CASE0073,merch_1015,cust_0073,Vivaan Nair,+919875884217,vivaan.nair37@yahoo.com,sub_0073,199900,INR,2026-08-19T03:46:18.609695,do_not_honor,Do not honor,upi,2,2026-08-17T06:46:18.609695,failed_recoverable,0,0,,False,
CASE0074,merch_1006,cust_0074,Aditya Kumar,+919880776001,aditya.kumar9@gmail.com,sub_0074,149900,INR,2026-08-16T17:46:18.609695,soft_decline,Temporary decline by issuer,card,1,2026-08-15T14:46:18.609695,failed_recoverable,0,0,,False,
CASE0075,merch_1009,cust_0075,Prisha Singh,+919825543181,prisha.singh83@outlook.com,sub_0075,499900,INR,2026-08-19T14:46:18.609695,do_not_honor,Do not honor,upi,2,2026-08-17T22:46:18.609695,failed_recoverable,0,0,,False,
CASE0076,merch_1007,cust_0076,Prisha Sharma,+919858966357,prisha.sharma47@hotmail.com,sub_0076,19900,INR,2026-08-19T09:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,upi,0,,failed_recoverable,0,0,,False,
CASE0077,merch_1025,cust_0077,Vihaan Sharma,+919812814366,vihaan.sharma47@outlook.com,sub_0077,499900,INR,2026-08-20T10:46:18.609695,mandate_revoked,Customer revoked the mandate,netbanking,1,2026-08-19T01:46:18.609695,failed_recoverable,0,0,,False,
CASE0078,merch_1049,cust_0078,Myra Nair,+919880579524,myra.nair82@gmail.com,sub_0078,19900,INR,2026-08-19T21:46:18.609695,invalid_account,Invalid account details,card,2,2026-08-18T00:46:18.609695,failed_recoverable,0,0,,False,
CASE0079,merch_1018,cust_0079,Prisha Kumar,+919827774615,prisha.kumar40@hotmail.com,sub_0079,199900,INR,2026-08-20T13:46:18.609695,do_not_honor,Do not honor,upi,1,2026-08-18T14:46:18.609695,failed_recoverable,0,0,,False,
CASE0080,merch_1004,cust_0080,Sai Singh,+919813492043,sai.singh52@hotmail.com,sub_0080,29900,INR,2026-08-20T08:46:18.609695,insufficient_funds,Insufficient funds in account,card,2,2026-08-18T17:46:18.609695,failed_recoverable,0,0,,False,
CASE0081,merch_1016,cust_0081,Ayaan Nair,+919867567516,ayaan.nair52@hotmail.com,sub_0081,199900,INR,2026-08-17T20:46:18.609695,do_not_honor,Do not honor,netbanking,0,,failed_recoverable,0,0,,False,
CASE0082,merch_1012,cust_0082,Aadhya Gupta,+919881361003,aadhya.gupta61@hotmail.com,sub_0082,199900,INR,2026-08-18T14:46:18.609695,soft_decline,Temporary decline by issuer,card,1,2026-08-18T01:46:18.609695,failed_recoverable,0,0,,False,
CASE0083,merch_1011,cust_0083,Pari Singh,+919899234362,pari.singh97@outlook.com,sub_0083,99900,INR,2026-08-17T15:46:18.609695,insufficient_funds,Insufficient funds in account,card,0,,failed_recoverable,0,0,,False,
CASE0084,merch_1036,cust_0084,Arjun Nair,+919841884531,arjun.nair31@outlook.com,sub_0084,199900,INR,2026-08-20T09:46:18.609695,insufficient_funds,Insufficient funds in account,upi,2,2026-08-19T21:46:18.609695,failed_recoverable,0,0,,False,
CASE0085,merch_1050,cust_0085,Prisha Reddy,+919866607419,prisha.reddy27@outlook.com,sub_0085,149900,INR,2026-08-20T00:46:18.609695,mandate_revoked,Customer revoked the mandate,upi,2,2026-08-19T22:46:18.609695,failed_recoverable,0,0,,False,
CASE0086,merch_1042,cust_0086,Vivaan Gupta,+919827100894,vivaan.gupta14@gmail.com,sub_0086,499900,INR,2026-08-19T17:46:18.609695,soft_decline,Temporary decline by issuer,upi,2,2026-08-17T18:46:18.609695,failed_recoverable,0,0,,False,
CASE0087,merch_1007,cust_0087,Aditya Singh,+919837134781,aditya.singh20@yahoo.com,sub_0087,49900,INR,2026-08-20T19:46:18.609695,bank_timeout,Bank did not respond in time,card,2,2026-08-19T18:46:18.609695,failed_recoverable,0,0,,False,
CASE0088,merch_1030,cust_0088,Aditya Patel,+919862864242,aditya.patel49@hotmail.com,sub_0088,19900,INR,2026-08-18T06:46:18.609695,soft_decline,Temporary decline by issuer,card,0,,failed_recoverable,0,0,,False,
CASE0089,merch_1002,cust_0089,Vivaan Reddy,+919843975589,vivaan.reddy43@hotmail.com,sub_0089,49900,INR,2026-08-20T00:46:18.609695,bank_timeout,Bank did not respond in time,upi,0,,failed_recoverable,0,0,,False,
CASE0090,merch_1012,cust_0090,Myra Singh,+919840396372,myra.singh12@outlook.com,sub_0090,249900,INR,2026-08-17T09:46:18.609695,soft_decline,Temporary decline by issuer,card,2,2026-08-16T12:46:18.609695,failed_recoverable,0,0,,False,
CASE0091,merch_1013,cust_0091,Ayaan Singh,+919821079198,ayaan.singh94@yahoo.com,sub_0091,249900,INR,2026-08-18T12:46:18.609695,bank_timeout,Bank did not respond in time,netbanking,0,,failed_recoverable,0,0,,False,
CASE0092,merch_1016,cust_0092,Pari Mehta,+919887182753,pari.mehta36@outlook.com,sub_0092,199900,INR,2026-08-19T23:46:18.609695,insufficient_funds,Insufficient funds in account,upi,2,2026-08-19T03:46:18.609695,failed_recoverable,0,0,,False,
CASE0093,merch_1027,cust_0093,Reyansh Nair,+919896517633,reyansh.nair21@hotmail.com,sub_0093,249900,INR,2026-08-19T16:46:18.609695,do_not_honor,Do not honor,card,1,2026-08-19T14:46:18.609695,failed_recoverable,0,0,,False,
CASE0094,merch_1011,cust_0094,Krishna Mehta,+919827075770,krishna.mehta63@outlook.com,sub_0094,149900,INR,2026-08-19T09:46:18.609695,insufficient_funds,Insufficient funds in account,card,2,2026-08-17T20:46:18.609695,failed_recoverable,0,0,,False,
CASE0095,merch_1027,cust_0095,Ishaan Joshi,+919820744641,ishaan.joshi90@gmail.com,sub_0095,199900,INR,2026-08-18T04:46:18.609695,card_expired,Card has expired,netbanking,1,2026-08-17T09:46:18.609695,failed_recoverable,0,0,,False,
CASE0096,merch_1016,cust_0096,Sai Patel,+919872690398,sai.patel32@outlook.com,sub_0096,99900,INR,2026-08-18T15:46:18.609695,bank_timeout,Bank did not respond in time,netbanking,0,,failed_recoverable,0,0,,False,
CASE0097,merch_1016,cust_0097,Sai Reddy,+919873270514,sai.reddy11@gmail.com,sub_0097,49900,INR,2026-08-19T06:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,card,0,,failed_recoverable,0,0,,False,
CASE0098,merch_1003,cust_0098,Krishna Joshi,+919869357199,krishna.joshi3@yahoo.com,sub_0098,49900,INR,2026-08-17T18:46:18.609695,do_not_honor,Do not honor,netbanking,0,,failed_recoverable,0,0,,False,
CASE0099,merch_1009,cust_0099,Ananya Mehta,+919885512352,ananya.mehta75@outlook.com,sub_0099,249900,INR,2026-08-18T20:46:18.609695,issuer_unavailable,Issuer system temporarily unavailable,upi,1,2026-08-17T17:46:18.609695,failed_recoverable,0,0,,False,
CASE0100,merch_1038,cust_0100,Krishna Mehta,+919859035603,krishna.mehta5@hotmail.com,sub_0100,199900,INR,2026-08-17T09:46:18.609695,insufficient_funds,Insufficient funds in account,upi,2,2026-08-15T21:46:18.609695,failed_recoverable,0,0,,False,
